Nome;Imagem;Caminho Padrão;Categoria;nome;tipo;@Imagem
Parafuso Chipboard (Cabeça Panela);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_chipboard_-cabeca_panela-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_chipboard_-cabeca_panela-.png
Parafuso Chipboard (Cabeça Chata);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_chipboard_-cabeca_chata-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_chipboard_-cabeca_chata-.png
Parafuso Chipboard (Cabeça Flangeada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_chipboard_-cabeca_flangeada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_chipboard_-cabeca_flangeada-.png
Parafuso Estrutural para Móveis (Cabeça Tampinha);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_estrutural_para_moveis_-cabeca_tampinha-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_estrutural_para_moveis_-cabeca_tampinha-.png
Parafuso Estrutural para Móveis (Cabeça Escareada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_estrutural_para_moveis_-cabeca_escareada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_estrutural_para_moveis_-cabeca_escareada-.png
Parafuso para Cama;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_para_cama;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_para_cama.png
Parafuso para Corrediça (Cabeça Chata);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_para_corredica_-cabeca_chata-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_para_corredica_-cabeca_chata-.png
Parafuso para Dobradiça (Cabeça Panela);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_para_dobradica_-cabeca_panela-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_para_dobradica_-cabeca_panela-.png
Parafuso para Puxadores (Cabeça Flangeada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_para_puxadores_-cabeca_flangeada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_para_puxadores_-cabeca_flangeada-.png
Parafuso para Puxadores (Segmentado Cabeça Flangeada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_para_puxadores_-segmentado_cabeca_flangeada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_para_puxadores_-segmentado_cabeca_flangeada-.png
Parafuso Plastic (Cabeça Panela);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_plastic_-cabeca_panela-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_plastic_-cabeca_panela-.png
Parafuso Plastic (Cabeça Chata);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_plastic_-cabeca_chata-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_plastic_-cabeca_chata-.png
Parafuso Plastic (Cabeça Flangeada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_plastic_-cabeca_flangeada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_plastic_-cabeca_flangeada-.png
Parafuso Drywall (Cabeça Flangeada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_drywall_-cabeca_flangeada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_drywall_-cabeca_flangeada-.png
Parafuso Drywall Cabeça Trombeta;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_drywall_cabeca_trombeta;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_drywall_cabeca_trombeta.png
Parafuso Drywall (Cabeça Flangeada Serrilhada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_drywall_-cabeca_flangeada_serrilhada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_drywall_-cabeca_flangeada_serrilhada-.png
Parafuso Drywall Cabeça Chata (Com Asa de Expansão);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_drywall_cabeca_chata_-com_asa_de_expansao-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_drywall_cabeca_chata_-com_asa_de_expansao-.png
Parafuso Sextavado Auto-Brocante (com Arruela de Vedação Especial);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_auto-brocante_-com_arruela_de_vedacao_especial-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_auto-brocante_-com_arruela_de_vedacao_especial-.png
Parafuso Sextavado Ponta Ogivada (com Arruela de Vedação Especial);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_ponta_ogivada_-com_arruela_de_vedacao_especial-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_ponta_ogivada_-com_arruela_de_vedacao_especial-.png
Parafuso Sextavado Brocante;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_brocante;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_brocante.png
Parafuso Sextavado Brocante (Cabeça Flangeada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_brocante_-cabeca_flangeada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_brocante_-cabeca_flangeada-.png
Parafuso Sextavado Brocante (Cabeça Flangeada Rosca Dupla);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_brocante_-cabeca_flangeada_rosca_dupla-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_brocante_-cabeca_flangeada_rosca_dupla-.png
Parafuso Cabeça Panela Brocante;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_cabeca_panela_brocante;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_cabeca_panela_brocante.png
Parafuso Cabeça Panela Brocante (Fenda Six-Lobe Brocante);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_cabeca_panela_brocante_-fenda_six-lobe_brocante-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_cabeca_panela_brocante_-fenda_six-lobe_brocante-.png
Parafuso Cabeça Chata Brocante;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_cabeca_chata_brocante;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_cabeca_chata_brocante.png
Parafuso Brocante (Cabeça Chata Estriado);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_brocante_-cabeca_chata_estriado-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_brocante_-cabeca_chata_estriado-.png
Parafuso Cabeça Redonda (Fenda Six-Lobe Brocante);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_cabeca_redonda_-fenda_six-lobe_brocante-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_cabeca_redonda_-fenda_six-lobe_brocante-.png
Parafuso Cabeça Sextavada (para Telha);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_cabeca_sextavada_-para_telha-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_cabeca_sextavada_-para_telha-.png
Parafuso Cabeça Quadrada (para Telha);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_cabeca_quadrada_-para_telha-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_cabeca_quadrada_-para_telha-.png
Haste Roscada para Telha;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;haste_roscada_para_telha;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\haste_roscada_para_telha.png
Parafuso para Andaimes (Reto Cabeça Elíptica);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_para_andaimes_-reto_cabeca_eliptica-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_para_andaimes_-reto_cabeca_eliptica-.png
